reviewTitle,reviewBody,final_sentiment,cluster,aspects
Love the quality,2nd time purchased from this store,negative,1,[]
Nice,Very comfortable,negative,1,['comfortable']
If they actually worked fully....,Works okay.  Little pricey for them though.,positive,0,"['Works', 'pricey']"
More shedding than my dog!!,"I wanted to like the bed and at first it worked great, it fit perfectly in my dogs crate and he seemed to be comfortable enough with it. HOWEVER, it sheds like CRAZY! I had read a review talking about that, but I decided to buy it anyways cus it could’ve just been their bed. Turns out it’s mine too. Every single day I would have to vacuum inside and around on the outside of his crate because the fur balls that would come off the bed were so much that they would get carried out around the living room (where the crates at) by the normal inside air. It was so annoying. Not to mention my dog has allergies and the amount of fur that came off the bed was very uncomfortable for him to the point he couldn’t sleep in his crate with that bed. It was a problem for me because his crate doesn’t have a base (it was a hand-me-down crate) so the bed had to be there or he would be even more uncomfortable. Anyway, point is this bed although seemed to work for the price, now has to been thrown away because it is completely useless to me and no amount of vacuuming stops the fur from coming off. I imagine the bed would have to be furless for that to happen. So waste of money there.",negative,1,"['wanted', 'fit', 'worked', 'fit', 'be', 'comfortable', 'sheds', 'like', 'was', 'has', 'was', 'was', 'be', 'seemed', 'is', 'waste']"
love this cup,Perfect for  cup of tea,negative,1,['Perfect']
Colorful and looks nice on my front porch.,Perfect for what I needed.,negative,1,['Perfect']
Size,"Great for small kitchens, highly effective (:",positive,0,"['Great', 'Great']"
Great hat,Great hat,positive,0,['hat']
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",positive,0,"['Love', ""'s"", 'be', 'blue']"
For everyone who loves maple syrup,Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,positive,0,"['Love', 'syrup', 'syrup']"
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,positive,0,"['easy', '’s', 'install', 'was']"
Black garlic,"I like the product , I eat one every day great taste",positive,0,"['eat', 'taste']"
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,positive,0,"['Love', 'is', 'looks']"
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",positive,0,['functioning']
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,positive,0,"['some', '’re', 'well', 'hid', 'of', 'stretchy', 'are', '’m']"
Dry gas shiing,Works well,positive,0,"['Works', 'Works']"
Expensive for what you get,I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,positive,0,['is']
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",positive,0,"['towel', 'large', 'wanted', 'want', 'is', 'have']"
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,negative,1,"['purchased', 'made', 'work']"
Did not fit,Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,negative,1,['compatible']
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,positive,0,"['love', 'are', ""'s"", 'easy', 'love', 'at']"
As advertised.,Excellent braze alloy. Will buy again.,positive,0,['alloy']
Can move around easily & charge will using oynjm,Love the length of this cord 10 ft.,neutral,2,['Love']
