reviewTitle,title_result,reviewBody,body_result,aspects
Love the quality,"[{'overall_score': 'positive', 'aspects': ['quality'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",2nd time purchased from this store,"[{'overall_score': 'positive', 'aspects': ['time', 'store'], 'sentiments': []}]","['quality', 'time', 'store']"
Nice,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]",Very comfortable,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}]}]",[]
If they actually worked fully....,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'worked', 'sentiment': 'positive'}]}]",Works okay.  Little pricey for them though.,"[{'overall_score': 'negative', 'aspects': ['works', 'pricey'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'pricey', 'sentiment': 'negative'}]}]","['works', 'pricey']"
More shedding than my dog!!,"[{'overall_score': 'negative', 'aspects': ['dog'], 'sentiments': []}]","I wanted to like the bed and at first it worked great, it fit perfectly in my dogs crate and he seemed to be comfortable enough with it. HOWEVER, it sheds like CRAZY! I had read a review talking about that, but I decided to buy it anyways cus it could’ve just been their bed. Turns out it’s mine too. Every single day I would have to vacuum inside and around on the outside of his crate because the fur balls that would come off the bed were so much that they would get carried out around the living room (where the crates at) by the normal inside air. It was so annoying. Not to mention my dog has allergies and the amount of fur that came off the bed was very uncomfortable for him to the point he couldn’t sleep in his crate with that bed. It was a problem for me because his crate doesn’t have a base (it was a hand-me-down crate) so the bed had to be there or he would be even more uncomfortable. Anyway, point is this bed although seemed to work for the price, now has to been thrown away because it is completely useless to me and no amount of vacuuming stops the fur from coming off. I imagine the bed would have to be furless for that to happen. So waste of money there.","[{'overall_score': 'negative', 'aspects': ['bed', 'dogs', 'crate', 'crazy', 'i', 'review', 've', 'bed', 'mine', 'day', 'i', 'outside', 'crate', 'fur', 'bed', 'living', 'room', 'crates', 'air', 'dog', 'allergies', 'amount', 'fur', 'bed', 'point', 'sleep', 'crate', 'bed', 'problem', 'crate', 'doesn', '’', 't', 'base', 'crate', 'bed', 'point', 'bed', 'price', 'amount', 'fur', 'bed', 'waste', 'money'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}, {'word': 'worked', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'perfectly', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}, {'word': 'enough', 'sentiment': 'positive'}, {'word': 'like', 'sentiment': 'positive'}, {'word': 'crazy', 'sentiment': 'negative'}, {'word': 'annoying', 'sentiment': 'negative'}, {'word': 'allergies', 'sentiment': 'negative'}, {'word': 'uncomfortable', 'sentiment': 'negative'}, {'word': 'problem', 'sentiment': 'negative'}, {'word': 'uncomfortable', 'sentiment': 'negative'}, {'word': 'work', 'sentiment': 'positive'}, {'word': 'useless', 'sentiment': 'negative'}, {'word': 'waste', 'sentiment': 'negative'}]}]","['dog', 'bed', 'dogs', 'crate', 'crazy', 'i', 'review', 've', 'bed', 'mine', 'day', 'i', 'outside', 'crate', 'fur', 'bed', 'living', 'room', 'crates', 'air', 'dog', 'allergies', 'amount', 'fur', 'bed', 'point', 'sleep', 'crate', 'bed', 'problem', 'crate', 'doesn', '’', 't', 'base', 'crate', 'bed', 'point', 'bed', 'price', 'amount', 'fur', 'bed', 'waste', 'money']"
love this cup,"[{'overall_score': 'positive', 'aspects': ['cup'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",Perfect for  cup of tea,"[{'overall_score': 'positive', 'aspects': ['perfect', 'cup', 'tea'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['cup', 'perfect', 'cup', 'tea']"
Colorful and looks nice on my front porch.,"[{'overall_score': 'positive', 'aspects': ['porch'], 'sentiments': [{'word': 'colorful', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}]}]",Perfect for what I needed.,"[{'overall_score': 'positive', 'aspects': ['perfect', 'i'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['porch', 'perfect', 'i']"
Size,"[{'overall_score': 'negative', 'aspects': ['size'], 'sentiments': []}]","Great for small kitchens, highly effective (:","[{'overall_score': 'positive', 'aspects': ['kitchens'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'effective', 'sentiment': 'positive'}]}]","['size', 'kitchens']"
Great hat,"[{'overall_score': 'positive', 'aspects': ['hat'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",Great hat,"[{'overall_score': 'positive', 'aspects': ['hat'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]","['hat', 'hat']"
Overall a beautiful puzzle,"[{'overall_score': 'positive', 'aspects': ['puzzle'], 'sentiments': [{'word': 'beautiful', 'sentiment': 'positive'}]}]","Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.","[{'overall_score': 'positive', 'aspects': ['while', 'part', 'collection', 'i', 'experience', 'first-timer', 'crystal', 'days', 'shipping', 'ocean', 'blue', 'lot', 'puzzles', 'i'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'beautiful', 'sentiment': 'positive'}]}]","['puzzle', 'while', 'part', 'collection', 'i', 'experience', 'first-timer', 'crystal', 'days', 'shipping', 'ocean', 'blue', 'lot', 'puzzles', 'i']"
For everyone who loves maple syrup,"[{'overall_score': 'positive', 'aspects': ['everyone', 'maple', 'syrup'], 'sentiments': [{'word': 'loves', 'sentiment': 'positive'}]}]",Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,"[{'overall_score': 'positive', 'aspects': ['flavor', 'maple', 'syrup', 'i'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['everyone', 'maple', 'syrup', 'flavor', 'maple', 'syrup', 'i']"
